DATE,consumer_loans
13/06/2018,793.3164
20/06/2018,792.8096
27/06/2018,792.948
04/07/2018,793.2822
11/07/2018,791.8176
18/07/2018,792.8374
25/07/2018,793.2638
01/08/2018,792.9946
08/08/2018,795.2997
15/08/2018,795.083
22/08/2018,796.4692
29/08/2018,797.4595
05/09/2018,798.8885
12/09/2018,798.0696
19/09/2018,799.2509
26/09/2018,798.6972
03/10/2018,800.4088
10/10/2018,801.4845
17/10/2018,800.685
24/10/2018,801.8338
31/10/2018,804.4286
07/11/2018,802.8481
14/11/2018,804.8419
21/11/2018,806.104
28/11/2018,809.1348
05/12/2018,806.0217
12/12/2018,806.7564
19/12/2018,804.3374
26/12/2018,806.4367
02/01/2019,806.0533
09/01/2019,808.0384
16/01/2019,806.5449
23/01/2019,808.8166
30/01/2019,812.0672
06/02/2019,811.8624
13/02/2019,811.7973
20/02/2019,812.2538
27/02/2019,814.055
06/03/2019,814.3139
13/03/2019,815.2115
20/03/2019,816.7439
27/03/2019,816.1429
03/04/2019,816.4539
10/04/2019,817.0322
17/04/2019,819.2461
24/04/2019,819.5142
01/05/2019,820.1271
08/05/2019,821.7353
15/05/2019,820.6697
22/05/2019,821.2959
29/05/2019,824.103
05/06/2019,824.4695
12/06/2019,825.6007
19/06/2019,824.2842
26/06/2019,822.7758
03/07/2019,821.9595
10/07/2019,824.2004
17/07/2019,823.6618
24/07/2019,825.1689
31/07/2019,828.4205
07/08/2019,828.8298
14/08/2019,829.4744
21/08/2019,830.4628
28/08/2019,829.6667
04/09/2019,832.3601
11/09/2019,830.2747
18/09/2019,831.4256
25/09/2019,830.8064
02/10/2019,830.4604
09/10/2019,831.0482
16/10/2019,838.9352
23/10/2019,838.9904
30/10/2019,841.4903
06/11/2019,840.6295
13/11/2019,841.6122
20/11/2019,839.9057
27/11/2019,835.7003
04/12/2019,838.8229
11/12/2019,841.6863
18/12/2019,840.1328
25/12/2019,845.3624
01/01/2020,845.6198
08/01/2020,847.236
15/01/2020,845.43
22/01/2020,848.0553
29/01/2020,849.0016
05/02/2020,848.6804
12/02/2020,848.8486
19/02/2020,850.0879
26/02/2020,850.9577
04/03/2020,858.9658
11/03/2020,859.1376
18/03/2020,858.8744
25/03/2020,845.923
01/04/2020,834.5508
08/04/2020,820.3005
15/04/2020,804.0622
22/04/2020,788.9159
29/04/2020,784.5934
06/05/2020,778.7898
13/05/2020,774.712
20/05/2020,770.6334
27/05/2020,766.9579
03/06/2020,765.0285
10/06/2020,765.2801
17/06/2020,762.7502
24/06/2020,761.3876
01/07/2020,758.2778
08/07/2020,760.838
15/07/2020,759.6969
22/07/2020,758.8711
29/07/2020,757.2459
05/08/2020,756.4084
12/08/2020,754.2245
19/08/2020,753.8078
26/08/2020,752.2388
02/09/2020,750.9543
09/09/2020,752.3101
16/09/2020,751.7782
23/09/2020,751.0914
30/09/2020,752.7827
07/10/2020,750.4705
14/10/2020,751.2379
21/10/2020,751.381
28/10/2020,750.4496
04/11/2020,751.1364
11/11/2020,751.4355
18/11/2020,749.0437
25/11/2020,749.6235
02/12/2020,747.2002
09/12/2020,750.0089
16/12/2020,749.862
23/12/2020,750.6163
30/12/2020,747.4055
06/01/2021,747.6217
13/01/2021,745.9553
20/01/2021,746.1105
27/01/2021,744.7572
03/02/2021,743.5994
10/02/2021,744.6052
17/02/2021,745.2567
24/02/2021,744.8676
03/03/2021,746.5368
10/03/2021,746.4619
17/03/2021,745.2013
24/03/2021,742.761
31/03/2021,743.5154
07/04/2021,738.7001
14/04/2021,738.2522
21/04/2021,739.1412
28/04/2021,742.6582
05/05/2021,741.7784
12/05/2021,746.6157
19/05/2021,749.5582
26/05/2021,751.9073
02/06/2021,751.5512
09/06/2021,754.229
16/06/2021,754.4502
23/06/2021,756.7505
30/06/2021,761.1352
07/07/2021,760.4079
14/07/2021,760.6997
21/07/2021,763.2158
28/07/2021,765.0973
04/08/2021,766.8431
11/08/2021,768.4133
18/08/2021,770.7159
25/08/2021,770.3127
01/09/2021,771.1379
08/09/2021,771.1801
15/09/2021,772.0212
22/09/2021,773.2013
29/09/2021,778.3882
06/10/2021,777.3967
13/10/2021,781.2354
20/10/2021,782.2609
27/10/2021,785.5481
03/11/2021,786.0644
10/11/2021,788.7595
17/11/2021,792.2987
24/11/2021,796.2636
01/12/2021,799.5578
08/12/2021,800.6144
15/12/2021,800.9964
22/12/2021,803.8438
29/12/2021,804.4488
05/01/2022,805.5473
12/01/2022,808.5416
19/01/2022,810.1003
26/01/2022,812.1488
02/02/2022,814.3669
09/02/2022,815.4233
16/02/2022,817.0409
23/02/2022,823.0922
02/03/2022,826.5399
09/03/2022,830.1572
16/03/2022,833.8844
23/03/2022,840.0537
30/03/2022,846.9401
06/04/2022,846.4251
13/04/2022,852.7326
20/04/2022,856.0459
27/04/2022,859.5223
04/05/2022,860.0291
11/05/2022,863.5591
18/05/2022,863.9839
25/05/2022,868.1277
01/06/2022,870.4957
08/06/2022,873.8362
15/06/2022,874.9281
22/06/2022,882.9978
29/06/2022,886.2248
06/07/2022,887.9274
13/07/2022,890.0239
20/07/2022,893.3475
27/07/2022,895.3404
03/08/2022,896.7015
10/08/2022,899.0177
17/08/2022,899.8235
24/08/2022,903.8864
31/08/2022,909.0872
07/09/2022,908.8923
14/09/2022,911.7069
21/09/2022,914.3299
28/09/2022,917.1075
05/10/2022,919.1689
12/10/2022,922.5579
19/10/2022,925.2296
26/10/2022,927.7674
02/11/2022,927.9469
09/11/2022,928.5524
16/11/2022,928.5891
23/11/2022,932.4162
